               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072184,            0.054405,            0.021745,             0.83885,             0.85276,             0.91776,              0.5498,            0.039628,            0.029716,           0.0039554,            0.070037,           0.0033293,           0.0033293
                   1,            0.049756,            0.036436,           0.0043707,             0.98046,             0.96947,             0.98361,             0.62612,            0.027794,            0.023528,           0.0030212,            0.039971,           0.0065966,           0.0065966
                   2,            0.039967,             0.02999,           0.0033003,             0.98904,             0.98135,             0.98929,             0.76871,            0.024099,             0.01964,           0.0025813,           0.0098387,            0.009798,            0.009798
                   3,            0.031836,            0.026173,           0.0025252,             0.99216,             0.98694,              0.9918,             0.82498,            0.017339,             0.01714,           0.0018129,            0.009703,            0.009703,            0.009703
                   4,            0.027155,            0.023822,           0.0020047,             0.99388,             0.98684,             0.99254,             0.85692,            0.015503,             0.01647,           0.0015849,            0.009703,            0.009703,            0.009703
                   5,            0.024478,            0.022424,           0.0017377,             0.99389,             0.98965,             0.99331,             0.87607,             0.01394,            0.015812,           0.0014968,            0.009604,            0.009604,            0.009604
                   6,            0.022783,            0.021503,           0.0016001,             0.99478,             0.99084,             0.99334,             0.88236,            0.013472,            0.014824,           0.0013305,            0.009505,            0.009505,            0.009505
                   7,            0.021418,            0.020998,           0.0013601,             0.99608,             0.99159,              0.9929,             0.87529,            0.014375,            0.015363,           0.0011334,            0.009406,            0.009406,            0.009406
                   8,            0.020211,            0.020209,           0.0012997,               0.995,             0.99311,             0.99395,             0.88827,            0.012443,            0.014386,           0.0012279,            0.009307,            0.009307,            0.009307
                   9,            0.019383,            0.019762,           0.0011895,             0.99563,             0.99388,             0.99414,             0.89805,            0.012152,            0.013997,          0.00098004,            0.009208,            0.009208,            0.009208
                  10,            0.018346,            0.019088,           0.0011279,             0.99686,             0.99323,             0.99401,             0.90344,            0.011489,            0.014556,          0.00094183,            0.009109,            0.009109,            0.009109
                  11,             0.01775,             0.01866,           0.0010655,              0.9964,             0.99421,              0.9943,             0.90057,              0.0116,            0.014106,          0.00088641,             0.00901,             0.00901,             0.00901
                  12,            0.017187,            0.018409,           0.0010066,             0.99682,             0.99484,             0.99431,             0.90804,            0.011112,            0.013355,          0.00089773,            0.008911,            0.008911,            0.008911
                  13,            0.016816,            0.018167,          0.00095803,             0.99638,             0.99488,             0.99424,             0.90858,            0.011204,            0.013703,          0.00085029,            0.008812,            0.008812,            0.008812
                  14,            0.016411,            0.017907,          0.00090435,             0.99727,             0.99419,             0.99421,             0.91247,            0.011037,            0.013926,          0.00075368,            0.008713,            0.008713,            0.008713
                  15,            0.016261,            0.018002,          0.00092474,             0.99693,             0.99449,             0.99425,              0.9049,            0.011279,            0.013728,           0.0007803,            0.008614,            0.008614,            0.008614
                  16,            0.015754,            0.017676,          0.00089356,             0.99671,             0.99497,             0.99429,             0.91251,            0.010841,            0.013318,          0.00072502,            0.008515,            0.008515,            0.008515
                  17,            0.015737,            0.017542,          0.00084065,             0.99776,             0.99403,             0.99437,             0.91184,            0.010745,             0.01333,          0.00073043,            0.008416,            0.008416,            0.008416
                  18,            0.015456,            0.017372,          0.00081484,             0.99758,             0.99476,             0.99446,              0.9149,            0.010659,            0.013016,          0.00076013,            0.008317,            0.008317,            0.008317
                  19,            0.015204,            0.017134,          0.00081855,             0.99736,             0.99568,             0.99454,              0.9143,            0.010496,            0.012945,          0.00068943,            0.008218,            0.008218,            0.008218
                  20,            0.015089,            0.017081,          0.00078297,             0.99712,              0.9951,             0.99443,             0.91684,            0.010494,            0.012852,          0.00069292,            0.008119,            0.008119,            0.008119
