epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1700.72,1.06056,0.68203,0.97324,0.97145,0.96061,0.97527,0.74088,1.01897,0.55687,0.96408,0.0700375,0.00332916,0.00332916
2,3149.88,0.84921,0.47536,0.90145,0.97705,0.96617,0.97449,0.73192,1.13831,0.49432,1.10103,0.0399716,0.00659654,0.00659654
3,4854.35,0.78014,0.43127,0.8843,0.9631,0.96096,0.97061,0.77586,0.92735,0.47249,0.96689,0.00983963,0.00979791,0.00979791
4,7012.96,0.74525,0.40726,0.87385,0.98458,0.97412,0.98546,0.87341,0.6067,0.3327,0.86365,0.009703,0.009703,0.009703
5,9137.73,0.7272,0.39048,0.8698,0.98967,0.98196,0.99006,0.8783,0.58529,0.3023,0.85718,0.009604,0.009604,0.009604
6,11545.2,0.70816,0.37746,0.86658,0.9907,0.98214,0.99033,0.89318,0.56382,0.2845,0.85264,0.009505,0.009505,0.009505
7,13984.9,0.69246,0.36323,0.86008,0.99134,0.98386,0.9912,0.89205,0.54083,0.28153,0.84983,0.009406,0.009406,0.009406
8,16352.4,0.68105,0.35761,0.85844,0.99199,0.98614,0.99219,0.88411,0.57663,0.27724,0.85334,0.009307,0.009307,0.009307
9,18650.9,0.67857,0.35482,0.85726,0.98862,0.98374,0.99059,0.8634,0.71046,0.29938,0.89471,0.009208,0.009208,0.009208
10,21046.5,0.66278,0.34735,0.85337,0.99373,0.98516,0.99192,0.88766,0.55339,0.26962,0.85038,0.009109,0.009109,0.009109
11,23304.5,0.65903,0.34388,0.85331,0.99253,0.98828,0.99282,0.87758,0.60235,0.27413,0.85737,0.00901,0.00901,0.00901
12,25437.4,0.65312,0.34045,0.85177,0.99231,0.98629,0.99184,0.88352,0.60627,0.27536,0.86302,0.008911,0.008911,0.008911
13,26879.3,0.64772,0.3351,0.85087,0.99283,0.98768,0.99269,0.88875,0.54524,0.24931,0.84707,0.008812,0.008812,0.008812
14,29139.5,0.64202,0.33398,0.84806,0.99352,0.98787,0.99267,0.89253,0.54163,0.25246,0.84615,0.008713,0.008713,0.008713
15,31155.7,0.63842,0.33256,0.84733,0.99427,0.98742,0.99263,0.90376,0.50221,0.24189,0.83892,0.008614,0.008614,0.008614
16,33297.1,0.63956,0.3321,0.84791,0.99377,0.99007,0.99303,0.90289,0.50645,0.24789,0.83895,0.008515,0.008515,0.008515
17,35308.2,0.62874,0.32489,0.84563,0.99437,0.98918,0.99317,0.9037,0.50499,0.23963,0.83899,0.008416,0.008416,0.008416
18,37780.8,0.62259,0.32323,0.84382,0.99451,0.98985,0.99331,0.90499,0.51733,0.24027,0.84397,0.008317,0.008317,0.008317
19,40386.3,0.6163,0.31907,0.84256,0.99474,0.99101,0.99352,0.90598,0.49577,0.23076,0.83618,0.008218,0.008218,0.008218
20,42216.8,0.61325,0.3167,0.84049,0.99535,0.99016,0.99358,0.91287,0.48322,0.22908,0.83516,0.008119,0.008119,0.008119
21,45875.3,0.61207,0.31419,0.84144,0.99462,0.9899,0.99345,0.90938,0.48282,0.22902,0.83509,0.00802,0.00802,0.00802
22,48344,0.61068,0.31323,0.84095,0.99619,0.99145,0.99397,0.89366,0.57639,0.23212,0.85517,0.007921,0.007921,0.007921
23,51438.7,0.61301,0.31598,0.84187,0.99578,0.99036,0.99364,0.90871,0.4943,0.22068,0.83861,0.007822,0.007822,0.007822
24,55937.4,0.60562,0.31307,0.84023,0.99492,0.99183,0.99389,0.91001,0.47519,0.22897,0.83266,0.007723,0.007723,0.007723
25,64371.2,0.5972,0.30745,0.83814,0.99592,0.99194,0.99398,0.91445,0.46551,0.21405,0.83157,0.007624,0.007624,0.007624
26,66919.4,0.5974,0.30675,0.83885,0.99623,0.99126,0.99392,0.91647,0.46827,0.21613,0.83235,0.007525,0.007525,0.007525
27,69325.3,0.59131,0.30379,0.83802,0.99594,0.99231,0.99404,0.91287,0.49275,0.21665,0.8359,0.007426,0.007426,0.007426
28,71536.1,0.59376,0.30334,0.83829,0.99564,0.99256,0.99402,0.91867,0.45285,0.21432,0.82981,0.007327,0.007327,0.007327
29,73975.4,0.59306,0.30238,0.8367,0.99586,0.99302,0.99413,0.91454,0.47587,0.2117,0.83374,0.007228,0.007228,0.007228
30,76450.3,0.58797,0.30031,0.83705,0.99554,0.99281,0.99414,0.91379,0.46917,0.20911,0.83216,0.007129,0.007129,0.007129
31,78975.2,0.58621,0.30025,0.83551,0.99588,0.99284,0.99413,0.91414,0.48015,0.21255,0.83321,0.00703,0.00703,0.00703
32,81554,0.58389,0.29795,0.83565,0.99632,0.99297,0.9942,0.91522,0.48606,0.20813,0.83478,0.006931,0.006931,0.006931
33,83901.3,0.5804,0.29719,0.83468,0.99629,0.99345,0.99428,0.92112,0.45616,0.20491,0.8295,0.006832,0.006832,0.006832
34,86247,0.58324,0.29623,0.83551,0.9967,0.99339,0.99428,0.92291,0.44174,0.20275,0.82741,0.006733,0.006733,0.006733
35,88858.9,0.57517,0.29465,0.83314,0.9962,0.99356,0.99426,0.9211,0.45336,0.20365,0.82942,0.006634,0.006634,0.006634
36,91545.4,0.57405,0.29347,0.83355,0.99671,0.9935,0.99436,0.92135,0.44641,0.20405,0.82765,0.006535,0.006535,0.006535
37,93404.6,0.56771,0.29259,0.83189,0.99664,0.99358,0.99434,0.92157,0.44963,0.20276,0.82795,0.006436,0.006436,0.006436
38,95596.7,0.57239,0.29286,0.83199,0.99677,0.99399,0.99443,0.91772,0.48108,0.20314,0.83408,0.006337,0.006337,0.006337
39,97925.9,0.56769,0.29221,0.83258,0.99715,0.9936,0.99441,0.92068,0.46274,0.20005,0.83061,0.006238,0.006238,0.006238
40,100350,0.55878,0.28967,0.82817,0.99682,0.9941,0.99441,0.92222,0.45515,0.19748,0.82908,0.006139,0.006139,0.006139
41,102653,0.56106,0.2873,0.83029,0.99718,0.99409,0.99445,0.92185,0.45516,0.19854,0.82914,0.00604,0.00604,0.00604
42,104970,0.55312,0.28498,0.82763,0.99692,0.9945,0.99445,0.92247,0.44671,0.19619,0.82731,0.005941,0.005941,0.005941
43,107392,0.55117,0.28263,0.82759,0.9974,0.99418,0.99441,0.92147,0.45718,0.19487,0.82954,0.005842,0.005842,0.005842
44,109697,0.54445,0.2812,0.82621,0.99705,0.99435,0.99443,0.92337,0.44493,0.19427,0.8274,0.005743,0.005743,0.005743
45,111925,0.5449,0.28198,0.82664,0.99679,0.99471,0.99448,0.92286,0.45065,0.19312,0.82786,0.005644,0.005644,0.005644
46,114294,0.54216,0.2795,0.82592,0.99672,0.99484,0.9945,0.92289,0.45127,0.19165,0.82801,0.005545,0.005545,0.005545
47,116852,0.54356,0.27823,0.82582,0.9971,0.99449,0.99452,0.9272,0.43433,0.19091,0.82529,0.005446,0.005446,0.005446
48,119739,0.54001,0.27754,0.82474,0.99701,0.99489,0.99453,0.92496,0.44354,0.19055,0.82672,0.005347,0.005347,0.005347
