epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.315,1.11231,0.82424,0.99137,0.9617,0.95662,0.96849,0.75827,0.99568,0.54867,0.98044,0.0700375,0.00332916,0.00332916
2,438.363,0.86481,0.50722,0.90477,0.97757,0.96989,0.98197,0.82495,0.7397,0.39411,0.89458,0.0399716,0.00659654,0.00659654
3,680.395,0.80289,0.46069,0.88895,0.98368,0.973,0.98572,0.76354,0.9909,0.40963,0.97088,0.00983963,0.00979791,0.00979791
4,876.691,0.75369,0.43349,0.87462,0.97948,0.97154,0.98289,0.81935,0.77287,0.36367,0.89735,0.009703,0.009703,0.009703
5,1016.31,0.72016,0.41112,0.86717,0.98688,0.97478,0.98686,0.85283,0.62468,0.33995,0.86494,0.009604,0.009604,0.009604
6,1208.58,0.69779,0.39457,0.86256,0.98823,0.9799,0.98916,0.86337,0.63136,0.31229,0.86757,0.009505,0.009505,0.009505
7,1400.46,0.69176,0.3865,0.8586,0.99012,0.98083,0.99023,0.81753,0.8559,0.34872,0.93469,0.009406,0.009406,0.009406
8,1541.29,0.68029,0.37714,0.85638,0.99126,0.98184,0.99058,0.86696,0.62153,0.29787,0.86113,0.009307,0.009307,0.009307
9,1707.48,0.66672,0.37127,0.85374,0.98761,0.98004,0.98895,0.85147,0.68326,0.31494,0.87838,0.009208,0.009208,0.009208
10,1912.28,0.64754,0.36148,0.84878,0.9903,0.98364,0.99072,0.88321,0.55247,0.27509,0.8505,0.009109,0.009109,0.009109
11,2053.82,0.64491,0.35756,0.84886,0.97979,0.97785,0.98642,0.8654,0.65207,0.31889,0.87108,0.00901,0.00901,0.00901
12,2194,0.64658,0.35518,0.84869,0.99058,0.98399,0.99112,0.85922,0.6803,0.29542,0.87897,0.008911,0.008911,0.008911
13,2343.17,0.63485,0.35235,0.84667,0.99124,0.98468,0.99129,0.88549,0.55408,0.26573,0.84835,0.008812,0.008812,0.008812
14,2578.6,0.63175,0.34665,0.84462,0.99186,0.98491,0.99163,0.87378,0.61788,0.27398,0.86187,0.008713,0.008713,0.008713
15,2797.37,0.63071,0.34626,0.84437,0.99179,0.98497,0.99135,0.89064,0.54335,0.26727,0.84696,0.008614,0.008614,0.008614
16,2971.89,0.62559,0.34294,0.84377,0.99228,0.9855,0.99168,0.86808,0.62971,0.27485,0.86147,0.008515,0.008515,0.008515
17,3115.85,0.62172,0.34028,0.84231,0.99225,0.98559,0.99182,0.89309,0.53735,0.25866,0.8448,0.008416,0.008416,0.008416
18,3259.14,0.61115,0.3343,0.83991,0.9923,0.98604,0.99193,0.88923,0.54269,0.2536,0.84537,0.008317,0.008317,0.008317
19,3404.92,0.60585,0.3324,0.83889,0.99243,0.98633,0.99211,0.90706,0.49046,0.24072,0.83779,0.008218,0.008218,0.008218
20,3549.59,0.60976,0.33272,0.83878,0.99345,0.98595,0.99224,0.90485,0.5037,0.2434,0.83972,0.008119,0.008119,0.008119
21,3698.27,0.6089,0.33166,0.83967,0.99254,0.98683,0.99219,0.9004,0.50862,0.24585,0.83991,0.00802,0.00802,0.00802
22,3950.27,0.60585,0.33111,0.83892,0.99393,0.98703,0.99265,0.89628,0.52214,0.24137,0.84202,0.007921,0.007921,0.007921
23,4218.41,0.60256,0.32919,0.8379,0.9931,0.98673,0.99241,0.90135,0.51174,0.23571,0.84038,0.007822,0.007822,0.007822
24,4485.16,0.59793,0.32716,0.83751,0.99306,0.98656,0.99237,0.90322,0.49653,0.23972,0.83705,0.007723,0.007723,0.007723
25,4751.5,0.59108,0.3242,0.83604,0.99289,0.98741,0.99261,0.89501,0.51915,0.23738,0.84014,0.007624,0.007624,0.007624
26,5029.82,0.59232,0.32312,0.83648,0.99365,0.98787,0.99267,0.90601,0.49819,0.23113,0.83767,0.007525,0.007525,0.007525
27,5300.6,0.58724,0.31913,0.83574,0.99358,0.98779,0.99257,0.91127,0.48885,0.23258,0.83572,0.007426,0.007426,0.007426
28,5565.09,0.58392,0.31751,0.83486,0.99469,0.98751,0.99282,0.90998,0.47971,0.22556,0.83425,0.007327,0.007327,0.007327
29,5832.4,0.58277,0.31749,0.83393,0.99418,0.98867,0.99293,0.90603,0.49414,0.22461,0.83645,0.007228,0.007228,0.007228
30,6097.19,0.57925,0.31267,0.8342,0.99418,0.98847,0.99298,0.91076,0.48443,0.22189,0.83521,0.007129,0.007129,0.007129
31,6372.2,0.57632,0.31141,0.83207,0.99442,0.98885,0.99314,0.90921,0.48709,0.22129,0.83506,0.00703,0.00703,0.00703
32,6636.65,0.57695,0.31259,0.83313,0.9941,0.98874,0.99294,0.90982,0.47994,0.22011,0.83423,0.006931,0.006931,0.006931
33,6900.82,0.5731,0.31032,0.83228,0.99502,0.98921,0.99324,0.90852,0.49163,0.21996,0.83617,0.006832,0.006832,0.006832
34,7166.19,0.57524,0.30977,0.83266,0.99485,0.98882,0.99316,0.91243,0.47882,0.21762,0.83375,0.006733,0.006733,0.006733
35,7436.19,0.57023,0.30857,0.83093,0.99411,0.98975,0.99315,0.91742,0.46398,0.21507,0.83201,0.006634,0.006634,0.006634
36,7706.55,0.57088,0.30802,0.83202,0.99434,0.9896,0.99333,0.91526,0.46456,0.2145,0.83149,0.006535,0.006535,0.006535
37,7969.75,0.56832,0.30695,0.83142,0.995,0.9896,0.99347,0.91413,0.48006,0.21683,0.83369,0.006436,0.006436,0.006436
38,8237.75,0.57231,0.3091,0.83141,0.99495,0.98986,0.99337,0.91532,0.47078,0.21406,0.83245,0.006337,0.006337,0.006337
39,8505.51,0.56448,0.30441,0.83117,0.99476,0.99045,0.99345,0.91685,0.46616,0.21145,0.83181,0.006238,0.006238,0.006238
40,8773,0.56436,0.30295,0.82872,0.99529,0.9903,0.9935,0.91812,0.46009,0.20817,0.83073,0.006139,0.006139,0.006139
41,9041.64,0.56372,0.30104,0.83028,0.99517,0.99034,0.99353,0.91736,0.4696,0.21016,0.83175,0.00604,0.00604,0.00604
42,9307.15,0.56253,0.30178,0.82872,0.99512,0.99051,0.99355,0.9181,0.46255,0.20853,0.83099,0.005941,0.005941,0.005941
43,9502.8,0.5622,0.30081,0.82925,0.99564,0.98977,0.99362,0.91649,0.47158,0.20942,0.83234,0.005842,0.005842,0.005842
44,9752.92,0.55301,0.29883,0.82769,0.99535,0.99038,0.99358,0.9166,0.46749,0.2077,0.8318,0.005743,0.005743,0.005743
45,9958.31,0.55375,0.29647,0.82813,0.99536,0.99042,0.99362,0.91753,0.45849,0.20786,0.82985,0.005644,0.005644,0.005644
46,10223.3,0.55316,0.29711,0.8278,0.99547,0.99084,0.99367,0.91802,0.4597,0.20776,0.82986,0.005545,0.005545,0.005545
47,10489.7,0.55194,0.29611,0.82764,0.9954,0.99113,0.99365,0.92142,0.4502,0.20465,0.82866,0.005446,0.005446,0.005446
48,10757.4,0.54911,0.29528,0.8263,0.99563,0.99083,0.9937,0.91932,0.45595,0.20383,0.82925,0.005347,0.005347,0.005347
49,11023.3,0.55171,0.2962,0.82812,0.99523,0.99083,0.99367,0.92024,0.45169,0.2019,0.82883,0.005248,0.005248,0.005248
50,11291.5,0.54901,0.29294,0.82774,0.99517,0.99123,0.99372,0.91964,0.44963,0.20184,0.82851,0.005149,0.005149,0.005149
51,11558.2,0.54843,0.29182,0.82655,0.99575,0.99128,0.99377,0.91966,0.4496,0.2009,0.82836,0.00505,0.00505,0.00505
52,11827.1,0.54173,0.28915,0.82586,0.99535,0.99156,0.99381,0.92063,0.44713,0.20062,0.82789,0.004951,0.004951,0.004951
53,12081.5,0.54338,0.28941,0.82573,0.99538,0.99183,0.99383,0.92077,0.44712,0.19999,0.82789,0.004852,0.004852,0.004852
54,12348.9,0.54093,0.28871,0.825,0.99554,0.99174,0.99386,0.92108,0.44655,0.19939,0.82778,0.004753,0.004753,0.004753
55,12618,0.53636,0.2855,0.82424,0.9956,0.99169,0.99389,0.92248,0.4448,0.19949,0.82744,0.004654,0.004654,0.004654
56,12860.7,0.53619,0.28637,0.82406,0.99574,0.99174,0.99388,0.92138,0.44527,0.19891,0.82728,0.004555,0.004555,0.004555
57,13058.6,0.53792,0.28693,0.82488,0.99571,0.99205,0.99391,0.92122,0.44484,0.19784,0.8273,0.004456,0.004456,0.004456
58,13322.7,0.53489,0.28437,0.82394,0.99572,0.99179,0.99393,0.92096,0.44522,0.19755,0.8272,0.004357,0.004357,0.004357
59,13551.7,0.53237,0.28121,0.82356,0.99589,0.99175,0.99395,0.92166,0.44322,0.19664,0.82687,0.004258,0.004258,0.004258
60,13822.3,0.52987,0.28211,0.82314,0.99586,0.99192,0.99395,0.92115,0.44281,0.19642,0.82677,0.004159,0.004159,0.004159
61,14093.4,0.53013,0.28185,0.82343,0.99581,0.99189,0.99396,0.9217,0.44165,0.19602,0.82659,0.00406,0.00406,0.00406
62,14363.5,0.53194,0.28072,0.82306,0.99574,0.99224,0.99396,0.9214,0.44249,0.19584,0.82666,0.003961,0.003961,0.003961
63,14636.4,0.52552,0.27839,0.82218,0.99613,0.9919,0.99399,0.92179,0.44404,0.19573,0.82686,0.003862,0.003862,0.003862
64,14905.5,0.52819,0.27983,0.82253,0.99621,0.9919,0.994,0.92242,0.44208,0.19551,0.8265,0.003763,0.003763,0.003763
65,15180.5,0.52344,0.2772,0.82159,0.99611,0.99131,0.99395,0.92304,0.4394,0.1951,0.82611,0.003664,0.003664,0.003664
66,15451.1,0.52259,0.27571,0.82191,0.9961,0.99198,0.99402,0.92255,0.44093,0.19488,0.82622,0.003565,0.003565,0.003565
67,15720,0.51679,0.27505,0.82039,0.99584,0.99248,0.99404,0.923,0.43927,0.19445,0.82591,0.003466,0.003466,0.003466
68,15882.2,0.51792,0.27429,0.8211,0.9962,0.99234,0.99401,0.92293,0.44005,0.19385,0.826,0.003367,0.003367,0.003367
69,16047.4,0.51675,0.27224,0.81968,0.9962,0.9924,0.99405,0.92322,0.43822,0.19338,0.82571,0.003268,0.003268,0.003268
70,16315.8,0.51136,0.26959,0.81927,0.99631,0.99239,0.99407,0.92342,0.43718,0.19287,0.82556,0.003169,0.003169,0.003169
71,16586,0.51211,0.26993,0.81891,0.99657,0.99219,0.99407,0.92367,0.43565,0.19213,0.82537,0.00307,0.00307,0.00307
72,16775.6,0.50826,0.26773,0.81868,0.99605,0.99278,0.99409,0.92402,0.4344,0.19156,0.82517,0.002971,0.002971,0.002971
73,16916.9,0.50866,0.2682,0.81855,0.99613,0.99276,0.9941,0.92424,0.43429,0.19147,0.82509,0.002872,0.002872,0.002872
74,17058,0.50512,0.26478,0.8171,0.99605,0.99291,0.99411,0.92392,0.43486,0.19125,0.82509,0.002773,0.002773,0.002773
75,17227,0.50549,0.26441,0.81771,0.9962,0.99281,0.99411,0.92412,0.43421,0.19103,0.82493,0.002674,0.002674,0.002674
76,17501.2,0.50204,0.26329,0.81773,0.99612,0.99298,0.99412,0.9244,0.43374,0.19067,0.82482,0.002575,0.002575,0.002575
77,17778.4,0.50112,0.26309,0.81709,0.99616,0.99302,0.99412,0.92446,0.43319,0.19032,0.82472,0.002476,0.002476,0.002476
78,17919,0.49627,0.25934,0.81705,0.99634,0.99293,0.99414,0.92443,0.43346,0.19011,0.82469,0.002377,0.002377,0.002377
79,18074.2,0.49426,0.2583,0.81562,0.99628,0.9932,0.99414,0.92476,0.43315,0.18977,0.82466,0.002278,0.002278,0.002278
