               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084286,            0.056154,            0.030569,             0.79246,             0.78898,             0.84485,             0.49694,            0.044039,            0.034043,            0.009761,            0.068373,           0.0016646,           0.0016646
                   1,             0.05629,            0.040095,           0.0070439,             0.92192,             0.92258,             0.95553,             0.67169,            0.035797,            0.026646,           0.0029355,            0.036673,           0.0032983,           0.0032983
                   2,            0.047754,            0.034231,           0.0040798,             0.97578,             0.96392,             0.97954,             0.72661,            0.027068,            0.020966,            0.002508,           0.0049407,            0.004899,            0.004899
                   3,            0.038885,            0.029577,           0.0030297,             0.98771,             0.97733,             0.98824,             0.76052,            0.025263,            0.017652,           0.0019753,           0.0048515,           0.0048515,           0.0048515
                   4,            0.032832,            0.026398,           0.0024275,             0.98963,             0.97972,             0.98971,             0.82798,            0.019728,            0.015465,           0.0016064,           0.0048515,           0.0048515,           0.0048515
                   5,            0.029577,            0.024589,           0.0020617,             0.99059,             0.98175,             0.99088,             0.81386,            0.018301,            0.014205,           0.0015421,            0.004802,            0.004802,            0.004802
                   6,             0.02723,            0.023194,           0.0018561,             0.99303,              0.9826,             0.99102,              0.8309,            0.018527,            0.013848,           0.0014267,           0.0047525,           0.0047525,           0.0047525
                   7,            0.025918,            0.022555,           0.0017347,             0.99249,             0.98691,             0.99239,             0.84899,             0.01571,            0.012601,           0.0014266,            0.004703,            0.004703,            0.004703
                   8,            0.024627,            0.021854,           0.0016247,             0.99363,             0.98784,             0.99272,             0.85412,             0.01648,            0.012591,           0.0013305,           0.0046535,           0.0046535,           0.0046535
                   9,            0.023685,            0.021182,           0.0015042,             0.99418,             0.98948,             0.99295,             0.86372,            0.015199,             0.01195,           0.0012172,            0.004604,            0.004604,            0.004604
                  10,             0.02313,            0.020867,           0.0014576,             0.99356,             0.98789,             0.99288,             0.86193,             0.01478,            0.011971,           0.0010475,           0.0045545,           0.0045545,           0.0045545
                  11,            0.022293,            0.020231,           0.0013749,             0.99466,              0.9893,              0.9931,             0.86297,            0.014585,            0.011643,           0.0011014,            0.004505,            0.004505,            0.004505
                  12,            0.021727,            0.020035,           0.0013257,             0.99426,             0.99074,             0.99356,             0.85527,            0.015555,            0.011628,           0.0010277,           0.0044555,           0.0044555,           0.0044555
                  13,            0.021287,            0.019749,           0.0012428,             0.99542,             0.99134,             0.99366,             0.87795,            0.013648,            0.010966,           0.0010165,            0.004406,            0.004406,            0.004406
                  14,            0.020901,            0.019504,           0.0012287,             0.99506,             0.99062,             0.99343,             0.86436,            0.015196,            0.011599,          0.00093168,           0.0043565,           0.0043565,           0.0043565
                  15,            0.020459,            0.019301,           0.0012165,             0.99574,             0.99137,             0.99362,             0.87646,            0.014328,             0.01116,          0.00092468,            0.004307,            0.004307,            0.004307
                  16,             0.02011,            0.019113,            0.001186,              0.9949,              0.9913,              0.9937,             0.88139,            0.013544,            0.010887,          0.00088568,           0.0042575,           0.0042575,           0.0042575
                  17,            0.019759,            0.018818,           0.0011732,             0.99521,             0.99191,             0.99365,             0.85918,            0.014671,            0.011188,          0.00091265,            0.004208,            0.004208,            0.004208
                  18,            0.019302,            0.018543,           0.0010812,              0.9963,             0.99119,             0.99389,             0.88531,            0.013354,            0.010662,          0.00087195,           0.0041585,           0.0041585,           0.0041585
                  19,            0.019146,             0.01838,            0.001063,             0.99607,             0.99222,             0.99398,             0.88342,            0.013429,            0.010617,          0.00085897,            0.004109,            0.004109,            0.004109
                  20,            0.018813,            0.018255,           0.0010729,               0.996,             0.99225,             0.99403,              0.8821,            0.013189,            0.010497,           0.0007811,           0.0040595,           0.0040595,           0.0040595
