               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12673,            0.064255,            0.051571,                   0,                   0,                   0,                   0,             0.12436,            0.060863,             0.05148,             0.09715,             0.00015,             0.00015
                   1,             0.12606,            0.076813,            0.051528,                   0,                   0,                   0,                   0,             0.12131,            0.064824,            0.051422,            0.093347,          0.00034654,          0.00034654
                   2,             0.12137,            0.082152,            0.051569,                   0,                   0,                   0,                   0,             0.11692,            0.070742,             0.05134,            0.089539,          0.00053911,          0.00053911
                   3,             0.11713,            0.085472,            0.051307,                   0,                   0,                   0,                   0,             0.11174,            0.077937,            0.051236,            0.085728,          0.00072773,          0.00072773
                   4,             0.11415,            0.087678,            0.051249,                   0,                   0,                   0,                   0,             0.10832,            0.082732,            0.051159,            0.081912,          0.00091238,          0.00091238
                   5,             0.11206,              0.1045,            0.051192,                   0,                   0,                   0,                   0,             0.10443,            0.088174,            0.051062,            0.078093,           0.0010931,           0.0010931
                   6,             0.10798,             0.10159,            0.051213,                   0,                   0,                   0,                   0,             0.10015,            0.094105,            0.050945,             0.07427,           0.0012698,           0.0012698
                   7,             0.10725,             0.10969,            0.050873,                   0,                   0,                   0,                   0,             0.09638,            0.099082,            0.050817,            0.070443,           0.0014426,           0.0014426
                   8,             0.09967,             0.11094,            0.050755,                   0,                   0,                   0,                   0,            0.093446,             0.10251,            0.050669,            0.066611,           0.0016114,           0.0016114
                   9,            0.098346,             0.10926,             0.05052,                   0,                   0,                   0,                   0,            0.091581,             0.10406,            0.050513,            0.062776,           0.0017763,           0.0017763
                  10,            0.099122,             0.11552,            0.050431,                   0,                   0,                   0,                   0,            0.090554,             0.10391,            0.050352,            0.058937,           0.0019372,           0.0019372
                  11,             0.09559,             0.11061,            0.050168,                   0,                   0,                   0,                   0,            0.089893,               0.103,            0.050181,            0.055094,           0.0020941,           0.0020941
                  12,            0.097415,             0.11745,             0.04999,           0.0078636,                0.11,            0.012402,           0.0016379,             0.08949,             0.10152,            0.050013,            0.051247,           0.0022471,           0.0022471
                  13,            0.096281,             0.11259,            0.049833,           0.0076307,               0.165,            0.059946,           0.0075227,            0.089195,              0.1007,            0.049915,            0.047396,           0.0023961,           0.0023961
                  14,            0.094298,             0.10773,            0.049865,            0.023828,              0.1975,            0.056193,           0.0099482,            0.088418,            0.099184,            0.049727,            0.043541,           0.0025411,           0.0025411
                  15,             0.09779,             0.11482,            0.049609,            0.025334,              0.1575,            0.049232,            0.011721,            0.087852,            0.098063,            0.049614,            0.039682,           0.0026822,           0.0026822
                  16,            0.094668,             0.11095,            0.049376,            0.022673,                0.16,            0.049204,            0.011938,            0.087477,            0.096736,            0.049517,            0.035819,           0.0028194,           0.0028194
                  17,            0.096097,             0.10664,            0.049324,            0.026117,              0.1125,            0.039021,            0.010556,            0.087014,            0.094272,            0.049354,            0.031953,           0.0029525,           0.0029525
                  18,            0.095683,             0.11036,            0.049287,            0.021435,               0.095,             0.03309,           0.0089141,            0.086844,            0.091941,            0.049273,            0.028082,           0.0030818,           0.0030818
                  19,              0.0955,             0.10434,             0.04904,            0.019146,              0.0675,            0.024663,           0.0070726,            0.086817,            0.089402,            0.049215,            0.024207,            0.003207,            0.003207
                  20,            0.095746,             0.10297,            0.048863,            0.021039,              0.0675,            0.024243,           0.0076724,            0.086761,            0.085071,            0.049171,            0.020328,           0.0033283,           0.0033283
                  21,            0.095845,             0.09506,            0.048787,            0.081799,               0.075,            0.063676,            0.024576,            0.087282,            0.081949,             0.04911,            0.016446,           0.0034456,           0.0034456
                  22,            0.093091,            0.088004,            0.048531,            0.027104,               0.105,            0.048654,            0.016606,            0.087703,            0.080098,            0.049051,            0.012559,            0.003559,            0.003559
                  23,            0.092733,            0.086865,             0.04848,            0.039296,              0.1075,            0.035299,           0.0084034,             0.09283,            0.076018,            0.048729,           0.0086684,           0.0036684,           0.0036684
