epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35668,1.99965,4.17054,1.43884,0.10237,0.30625,0.15913,0.11208,1.5014,3.852,1.05013,0.0919,0.0009,0.0009
2,5.95223,1.03629,1.34204,0.92201,0.29505,0.25312,0.30226,0.19949,1.2046,3.93089,1.09323,0.0828765,0.00187649,0.00187649
3,8.30335,0.9502,0.96035,0.90047,0.27709,0.58437,0.49074,0.38042,0.93755,3.55262,0.94517,0.0738282,0.00282822,0.00282822
4,10.7267,0.87381,0.82742,0.89502,0.19307,0.48125,0.3394,0.27924,0.97793,3.43974,0.93573,0.0647552,0.00375521,0.00375521
5,13.8525,0.85765,0.74151,0.89786,0.38148,0.65625,0.62612,0.47942,1.00031,3.69817,0.91758,0.0556575,0.00465745,0.00465745
6,16.267,0.85042,0.6945,0.90573,0.52029,0.86875,0.86191,0.69731,0.88356,3.10195,0.90815,0.0465349,0.00553494,0.00553494
7,18.5976,0.80689,0.65056,0.88564,0.86531,0.86719,0.9817,0.80509,0.84784,1.69714,0.88305,0.0373877,0.00638767,0.00638767
8,20.9013,0.74444,0.6207,0.87817,0.83463,0.99883,0.93056,0.78071,0.72326,1.06164,0.83553,0.0282157,0.00721566,0.00721566
9,23.3337,0.75153,0.59132,0.87198,0.80665,0.85183,0.99494,0.77824,0.81137,1.49006,0.8633,0.0190189,0.0080189,0.0080189
10,25.7105,0.74888,0.59372,0.8786,0.7919,0.86417,0.995,0.86523,0.63409,2.16854,0.82943,0.00979739,0.00879739,0.00879739
11,28.2225,0.73953,0.57458,0.87752,0.87448,1,0.995,0.83186,0.65498,0.85875,0.81638,0.0087625,0.0087625,0.0087625
12,30.4676,0.76295,0.54896,0.87558,0.86835,1,0.995,0.80663,0.76074,0.83117,0.86866,0.00863875,0.00863875,0.00863875
13,32.7006,0.78078,0.55557,0.87421,0.99241,0.99655,0.995,0.86091,0.7053,0.65648,0.84018,0.008515,0.008515,0.008515
14,34.9674,0.83946,0.5816,0.88707,0.99354,0.99844,0.995,0.82021,0.77103,0.6613,0.86632,0.00839125,0.00839125,0.00839125
15,37.2256,0.72122,0.52047,0.86301,0.9949,1,0.995,0.83594,0.72628,0.57339,0.83704,0.0082675,0.0082675,0.0082675
16,39.5016,0.70106,0.50505,0.85468,0.99787,1,0.995,0.88574,0.59762,0.54527,0.79713,0.00814375,0.00814375,0.00814375
17,42.0198,0.70179,0.47874,0.85546,0.99444,1,0.995,0.81877,0.85256,0.58565,0.8675,0.00802,0.00802,0.00802
18,44.2634,0.69992,0.4819,0.86171,0.99637,1,0.995,0.82167,0.77469,0.50329,0.82397,0.00789625,0.00789625,0.00789625
19,46.5127,0.65534,0.46503,0.84886,0.99555,1,0.995,0.87701,0.61683,0.60497,0.78866,0.0077725,0.0077725,0.0077725
20,48.7991,0.63372,0.45463,0.84157,0.99791,0.99824,0.995,0.83738,0.73923,0.53332,0.81836,0.00764875,0.00764875,0.00764875
21,51.0041,0.6329,0.43529,0.84656,0.99669,1,0.995,0.85226,0.64192,0.50148,0.7965,0.007525,0.007525,0.007525
22,53.2182,0.60245,0.42513,0.84128,0.9975,0.99809,0.995,0.88387,0.55624,0.43898,0.7795,0.00740125,0.00740125,0.00740125
23,55.4924,0.6102,0.42074,0.84211,0.99626,0.99812,0.995,0.85655,0.66698,0.53892,0.79993,0.0072775,0.0072775,0.0072775
24,57.8577,0.59962,0.41989,0.84247,0.99759,0.9982,0.995,0.87813,0.63639,0.421,0.79865,0.00715375,0.00715375,0.00715375
25,60.151,0.62143,0.41556,0.84176,0.99761,0.99805,0.995,0.85558,0.69508,0.4539,0.81316,0.00703,0.00703,0.00703
26,62.4172,0.61001,0.41592,0.84268,0.99755,1,0.995,0.87141,0.5783,0.45718,0.7821,0.00690625,0.00690625,0.00690625
27,65.1139,0.61766,0.40939,0.84069,0.99687,0.99892,0.995,0.84519,0.73028,0.47078,0.8153,0.0067825,0.0067825,0.0067825
28,67.4679,0.59485,0.40563,0.82301,0.99706,0.99733,0.995,0.84147,0.65781,0.44788,0.79661,0.00665875,0.00665875,0.00665875
29,69.7208,0.6149,0.4005,0.84228,0.9937,0.9973,0.995,0.78479,0.88681,0.42127,0.85369,0.006535,0.006535,0.006535
30,71.9812,0.65411,0.40826,0.84594,0.99726,0.99734,0.995,0.82258,0.8002,0.47167,0.8305,0.00641125,0.00641125,0.00641125
31,74.1989,0.61298,0.38992,0.84267,0.99639,0.99737,0.995,0.79613,0.90871,0.45416,0.84766,0.0062875,0.0062875,0.0062875
32,75.52,0.58295,0.37761,0.83824,0.99776,0.99749,0.995,0.83544,0.78015,0.41728,0.84222,0.00616375,0.00616375,0.00616375
33,76.9256,0.5779,0.37811,0.83314,0.99741,0.99846,0.995,0.83995,0.71091,0.42018,0.81512,0.00604,0.00604,0.00604
34,78.4199,0.56474,0.36816,0.82245,0.99721,0.99773,0.995,0.87831,0.60905,0.39254,0.78284,0.00591625,0.00591625,0.00591625
35,79.8072,0.58403,0.37501,0.83011,0.99827,0.99912,0.995,0.84105,0.74166,0.39178,0.80965,0.0057925,0.0057925,0.0057925
36,81.1907,0.56472,0.36721,0.83239,0.99672,0.99843,0.995,0.87306,0.60922,0.34457,0.78351,0.00566875,0.00566875,0.00566875
