epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.96898,2.14987,5.64029,1.51441,0.10716,0.49688,0.12491,0.07436,1.18063,inf,0.98771,0.0919,0.0009,0.0009
2,12.0774,1.1446,2.3771,1.00644,0,0,0,0,nan,nan,nan,0.0828812,0.00188119,0.00188119
3,17.2227,1.00981,1.08943,0.94443,0,0,0,0,nan,nan,nan,0.0738426,0.00284258,0.00284258
4,21.9727,0.90242,0.7964,0.93058,0,0,0,0,nan,nan,nan,0.0647842,0.00378417,0.00378417
5,26.7798,0.87322,0.67956,0.91616,0,0,0,0,nan,nan,nan,0.055706,0.00470596,0.00470596
6,31.689,0.83248,0.5935,0.9068,0.00096,0.125,0.00102,0.00031,nan,nan,nan,0.046608,0.00560795,0.00560795
7,36.3987,0.85234,0.58168,0.9036,0.00012,0.00937,7e-05,1e-05,nan,nan,nan,0.0374901,0.00649014,0.00649014
8,41.0691,0.80795,0.56447,0.89056,0.94284,0.625,0.995,0.79206,0.83665,3.20278,0.9442,0.0283525,0.00735253,0.00735253
9,45.7791,0.76882,0.5516,0.87766,0.7308,0.92668,0.995,0.78432,0.86855,4.16796,1.03046,0.0191951,0.00819512,0.00819512
10,50.3985,0.77471,0.55521,0.884,1e-05,0.00313,1e-05,0,3.09354,408.89,10.7006,0.0100179,0.00901791,0.00901791
11,54.9658,0.72472,0.51017,0.87733,0,0,0,0,0,0.01172,0,0.00901,0.00901,0.00901
12,59.6248,0.74525,0.48852,0.87186,0,0,0,0,2.88861,7.19927,3.71506,0.008911,0.008911,0.008911
13,64.6855,0.73462,0.47659,0.86189,0.89565,0.99814,0.995,0.72022,0.95581,2.00793,0.94571,0.008812,0.008812,0.008812
14,69.6394,0.71603,0.46319,0.8635,0.96205,0.78158,0.8943,0.68464,0.92914,1.04546,0.9458,0.008713,0.008713,0.008713
15,74.378,0.7092,0.4602,0.86024,0.93398,0.99545,0.99183,0.82034,0.78234,0.68764,0.89037,0.008614,0.008614,0.008614
16,79.1481,0.69073,0.44034,0.85461,0.96138,0.9872,0.995,0.79716,0.84576,0.69997,0.8987,0.008515,0.008515,0.008515
17,83.854,0.6784,0.41047,0.84986,0.98607,1,0.995,0.82234,0.71203,0.51335,0.84979,0.008416,0.008416,0.008416
18,88.7294,0.67371,0.41267,0.85388,0.99484,1,0.995,0.8343,0.70359,0.45404,0.85636,0.008317,0.008317,0.008317
19,93.4319,0.6583,0.39902,0.85018,0.99476,1,0.995,0.82972,0.7645,0.42164,0.84551,0.008218,0.008218,0.008218
20,98.2721,0.64989,0.39177,0.84221,0.99556,1,0.995,0.83036,0.77004,0.42655,0.84969,0.008119,0.008119,0.008119
21,103.091,0.65044,0.38807,0.84868,0.99599,1,0.995,0.87287,0.64942,0.3791,0.8163,0.00802,0.00802,0.00802
22,108.28,0.60178,0.36644,0.84041,0.99354,1,0.995,0.87035,0.62356,0.35806,0.80518,0.007921,0.007921,0.007921
23,112.909,0.60746,0.36804,0.84186,0.99612,1,0.995,0.84943,0.68825,0.35836,0.81558,0.007822,0.007822,0.007822
24,117.918,0.59672,0.36245,0.84144,0.99751,1,0.995,0.84205,0.72082,0.33776,0.81185,0.007723,0.007723,0.007723
25,122.478,0.59375,0.34982,0.83424,0.99638,1,0.995,0.88055,0.58398,0.33373,0.79024,0.007624,0.007624,0.007624
26,127.264,0.58508,0.34564,0.83568,0.99795,1,0.995,0.87076,0.63401,0.34977,0.80455,0.007525,0.007525,0.007525
27,131.873,0.59634,0.3558,0.83582,0.9976,1,0.995,0.87279,0.5747,0.34068,0.78795,0.007426,0.007426,0.007426
28,136.422,0.57761,0.34821,0.819,0.99668,1,0.995,0.88012,0.58295,0.32406,0.78436,0.007327,0.007327,0.007327
