epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.196,1.73737,2.02562,1.7459,0.82603,0.72517,0.81707,0.38725,1.80215,1.1172,1.82986,0.0700359,0.00332935,0.00332935
2,651.647,1.62644,1.1423,1.66574,0.88143,0.83576,0.90072,0.44433,1.74399,0.84716,1.7799,0.0399699,0.00659672,0.00659672
3,974.43,1.63384,1.11774,1.67744,0.86122,0.80417,0.87403,0.42193,1.79504,0.95266,1.83204,0.00983796,0.00979809,0.00979809
4,1295.87,1.63268,1.11222,1.6774,0.89328,0.84166,0.90723,0.45334,1.73435,0.83193,1.77617,0.009703,0.009703,0.009703
5,1616.71,1.60961,1.04731,1.65716,0.86908,0.77564,0.85796,0.4171,1.80463,0.9651,1.84666,0.009604,0.009604,0.009604
6,1937.56,1.58969,1.00164,1.64678,0.90195,0.87347,0.9239,0.46925,1.70349,0.75919,1.74852,0.009505,0.009505,0.009505
7,2258.56,1.58376,0.97995,1.64182,0.90684,0.87219,0.92612,0.47254,1.68816,0.74477,1.73225,0.009406,0.009406,0.009406
8,2579.42,1.57769,0.95274,1.63256,0.91104,0.89971,0.93921,0.48924,1.66523,0.71011,1.72389,0.009307,0.009307,0.009307
9,2900.26,1.56596,0.93745,1.62509,0.91994,0.90281,0.94317,0.49291,1.65309,0.69427,1.71084,0.009208,0.009208,0.009208
10,3221.17,1.56202,0.9344,1.62868,0.91296,0.90598,0.94037,0.48986,1.66746,0.6812,1.71733,0.009109,0.009109,0.009109
11,3542.05,1.55463,0.92314,1.61978,0.91949,0.91122,0.94652,0.49728,1.66531,0.67186,1.71421,0.00901,0.00901,0.00901
12,3862.75,1.55405,0.90458,1.61511,0.91676,0.91153,0.94507,0.49725,1.66326,0.67917,1.70614,0.008911,0.008911,0.008911
13,4183.52,1.54321,0.89742,1.60937,0.9171,0.91802,0.94721,0.49763,1.66157,0.65806,1.70962,0.008812,0.008812,0.008812
14,4504.5,1.54092,0.88923,1.60634,0.92038,0.90854,0.94578,0.50084,1.66276,0.66801,1.71018,0.008713,0.008713,0.008713
15,4825.34,1.54035,0.88052,1.60524,0.92381,0.91992,0.95088,0.5023,1.6656,0.64022,1.70471,0.008614,0.008614,0.008614
16,5145.97,1.53109,0.88054,1.60273,0.92292,0.91744,0.94839,0.5017,1.64438,0.65378,1.69718,0.008515,0.008515,0.008515
17,5466.73,1.5313,0.87315,1.60086,0.92269,0.92884,0.95123,0.50819,1.64729,0.63236,1.69879,0.008416,0.008416,0.008416
18,5787.44,1.52886,0.86466,1.60066,0.92605,0.93121,0.95405,0.51071,1.63954,0.63041,1.69043,0.008317,0.008317,0.008317
19,6108.28,1.531,0.86623,1.60127,0.92713,0.93006,0.95349,0.51239,1.63529,0.62533,1.69105,0.008218,0.008218,0.008218
20,6429.06,1.52228,0.85696,1.59599,0.92984,0.93103,0.9546,0.51265,1.64174,0.61085,1.69397,0.008119,0.008119,0.008119
21,6749.89,1.52639,0.85871,1.5976,0.92987,0.93294,0.95557,0.51469,1.63755,0.61544,1.68924,0.00802,0.00802,0.00802
22,7070.61,1.51924,0.84718,1.59037,0.92928,0.9356,0.95654,0.51393,1.64035,0.61176,1.68986,0.007921,0.007921,0.007921
23,7391.38,1.51925,0.85171,1.59574,0.93054,0.93576,0.95735,0.5168,1.6326,0.61329,1.68574,0.007822,0.007822,0.007822
24,7712.12,1.51182,0.84427,1.59014,0.93036,0.93665,0.9572,0.51572,1.63595,0.6073,1.68798,0.007723,0.007723,0.007723
25,8032.92,1.51139,0.83678,1.5895,0.93263,0.93739,0.95783,0.51768,1.63228,0.60718,1.68533,0.007624,0.007624,0.007624
26,8353.65,1.51409,0.84159,1.58807,0.93219,0.93784,0.95906,0.51781,1.63365,0.6068,1.68556,0.007525,0.007525,0.007525
27,8674.33,1.50964,0.83588,1.58781,0.93256,0.94048,0.95957,0.518,1.63343,0.60201,1.68465,0.007426,0.007426,0.007426
28,8994.96,1.50635,0.83028,1.58243,0.93311,0.94092,0.9598,0.519,1.6347,0.59867,1.68429,0.007327,0.007327,0.007327
29,9315.83,1.51053,0.83007,1.58432,0.93165,0.94018,0.95955,0.51997,1.63281,0.59787,1.68323,0.007228,0.007228,0.007228
30,9636.62,1.50252,0.82552,1.58255,0.93126,0.94039,0.95907,0.52107,1.6306,0.59813,1.68173,0.007129,0.007129,0.007129
31,9957.36,1.50315,0.82516,1.58026,0.93047,0.94352,0.95984,0.51966,1.63206,0.59551,1.68208,0.00703,0.00703,0.00703
32,10278,1.49667,0.82354,1.57922,0.92938,0.94266,0.95925,0.51979,1.63079,0.59609,1.68207,0.006931,0.006931,0.006931
33,10598.7,1.4992,0.81099,1.57717,0.93056,0.94138,0.95888,0.52002,1.63067,0.59588,1.68124,0.006832,0.006832,0.006832
34,10919.5,1.49512,0.81051,1.57285,0.93096,0.94292,0.9594,0.52071,1.631,0.59422,1.68157,0.006733,0.006733,0.006733
35,11240.2,1.49442,0.81195,1.574,0.9302,0.943,0.95906,0.52031,1.63139,0.59199,1.68188,0.006634,0.006634,0.006634
36,11560.9,1.48969,0.81114,1.57037,0.9294,0.94417,0.95952,0.52141,1.6307,0.59195,1.68139,0.006535,0.006535,0.006535
37,11881.6,1.49286,0.806,1.57224,0.92978,0.94407,0.96005,0.52153,1.63061,0.59133,1.6812,0.006436,0.006436,0.006436
38,12202.4,1.48248,0.80193,1.56788,0.92974,0.94465,0.95988,0.52178,1.63025,0.59048,1.68095,0.006337,0.006337,0.006337
39,12523,1.48329,0.79736,1.56995,0.92991,0.94328,0.95983,0.52173,1.63028,0.59024,1.68096,0.006238,0.006238,0.006238
40,12843.8,1.4802,0.79559,1.56537,0.92978,0.94288,0.95955,0.52175,1.6304,0.58992,1.68105,0.006139,0.006139,0.006139
41,13164.6,1.4817,0.7938,1.56742,0.93091,0.94267,0.95951,0.52174,1.63056,0.58948,1.68096,0.00604,0.00604,0.00604
42,13485.3,1.47984,0.7911,1.56367,0.92966,0.94375,0.95915,0.52176,1.63068,0.58857,1.68081,0.005941,0.005941,0.005941
43,13805.9,1.4792,0.7899,1.56371,0.92863,0.94464,0.95898,0.522,1.63094,0.58855,1.68104,0.005842,0.005842,0.005842
44,14126.6,1.47425,0.78792,1.56124,0.92978,0.94447,0.95974,0.52187,1.63115,0.5884,1.68103,0.005743,0.005743,0.005743
45,14447.3,1.47565,0.78155,1.56117,0.92943,0.94512,0.95947,0.52215,1.6313,0.58771,1.68101,0.005644,0.005644,0.005644
46,14768.1,1.47162,0.78036,1.55859,0.93002,0.94511,0.95933,0.52261,1.63127,0.58743,1.6809,0.005545,0.005545,0.005545
47,15088.7,1.46827,0.77528,1.55402,0.92976,0.94552,0.95954,0.52258,1.63116,0.58723,1.68085,0.005446,0.005446,0.005446
48,15409.5,1.46545,0.77908,1.55577,0.92937,0.94547,0.95934,0.52249,1.63104,0.5872,1.68069,0.005347,0.005347,0.005347
49,15730.6,1.46192,0.77477,1.55434,0.9285,0.94594,0.95937,0.52249,1.63118,0.58726,1.68073,0.005248,0.005248,0.005248
50,16051.7,1.4661,0.7705,1.55338,0.92943,0.9457,0.95936,0.52258,1.63162,0.58691,1.68085,0.005149,0.005149,0.005149
51,16372.2,1.46231,0.76916,1.55341,0.92973,0.94544,0.95929,0.52282,1.63163,0.58683,1.68074,0.00505,0.00505,0.00505
52,16692.9,1.45296,0.76476,1.54095,0.92937,0.94519,0.95932,0.52266,1.63197,0.58665,1.68083,0.004951,0.004951,0.004951
53,17013.5,1.45134,0.75834,1.54376,0.92867,0.94544,0.95918,0.52271,1.63208,0.58656,1.68083,0.004852,0.004852,0.004852
54,17334.2,1.45266,0.76179,1.5458,0.92939,0.94508,0.95916,0.52284,1.63241,0.58649,1.68094,0.004753,0.004753,0.004753
55,17654.8,1.44972,0.75956,1.5432,0.92972,0.94486,0.95917,0.52229,1.63265,0.58658,1.68102,0.004654,0.004654,0.004654
56,17975.5,1.44496,0.7543,1.54107,0.93005,0.94488,0.95893,0.52287,1.6329,0.58625,1.68121,0.004555,0.004555,0.004555
57,18296.8,1.44437,0.75536,1.53985,0.9305,0.94491,0.9592,0.52259,1.63345,0.58638,1.68144,0.004456,0.004456,0.004456
58,18617.4,1.44177,0.74825,1.53695,0.93018,0.94546,0.95904,0.52276,1.63405,0.58647,1.68178,0.004357,0.004357,0.004357
59,18938.2,1.43441,0.74464,1.53254,0.93065,0.94514,0.95918,0.52284,1.6346,0.58655,1.68222,0.004258,0.004258,0.004258
